lead_time_hours,min_trajectories_per_cluster,link_dist_threshold_km
-336.0,5.0,200.0
-324.0,5.0,400.0
-312.0,5.0,400.0
-300.0,5.0,300.0
-288.0,5.0,400.0
-276.0,5.0,300.0
-264.0,5.0,300.0
-252.0,5.0,300.0
-240.0,5.0,300.0
-228.0,5.0,400.0
-216.0,5.0,300.0
-204.0,5.0,200.0
-192.0,5.0,200.0
-180.0,5.0,300.0
-168.0,5.0,200.0
-156.0,5.0,200.0
-144.0,5.0,200.0
-132.0,5.0,200.0
-120.0,5.0,200.0
-108.0,5.0,200.0
-96.0,5.0,100.0
-84.0,5.0,100.0
-72.0,5.0,100.0
-60.0,5.0,50.0
-48.0,5.0,50.0
-36.0,5.0,50.0
-24.0,5.0,50.0
-12.0,40.0,50.0
